daily,date,lisa_v,lisa_p,lisa_c,ID,clusterN,p
0.0003351206434316354,20220501,1.70104155446312,0.02,1,31039,4,1
0.0,20220501,-0.7149955534283151,0.012,3,53069,3,1
0.000108571392076843,20220501,0.1511781128626347,0.02,1,31109,4,1
4.240117875276933e-05,20220501,0.10193016805146136,0.045,2,46099,1,1
0.0,20220501,0.2765835380061343,0.007,2,48189,1,2
0.0,20220501,0.2617218855053673,0.047,2,01027,1,1
0.0,20220501,0.27550528497379717,0.006,2,48011,1,2
0.00028159319170238727,20220501,1.7220800677131924,0.008,1,55111,4,2
0.0,20220501,0.24784299200055857,0.016,2,41063,1,1
6.058770069675856e-05,20220501,0.056341381027595984,0.042,2,28061,1,1
0.0,20220501,0.28835930487891326,0.01,2,29083,1,2
0.00012615997084302897,20220501,0.26615373022553296,0.025,1,37037,4,1
0.0,20220501,0.27689876965145527,0.002,2,01091,1,2
0.00021978021978021978,20220501,1.6441657246246593,0.008,1,31137,4,2
1.983940005654229e-05,20220501,0.21071846694240645,0.021,2,22019,1,1
0.0,20220501,0.24514387666739962,0.045,2,22111,1,1
2.3975640748999018e-05,20220501,0.16743127981248462,0.033,2,40135,1,1
0.0004252141627429425,20220501,3.3977079698640247,0.005,1,36101,4,2
0.00043469620944905363,20220501,4.795124377157065,0.006,1,25015,4,2
0.0,20220501,0.24217773972360512,0.049,2,21003,1,1
0.0,20220501,0.249874755395604,0.021,2,20073,1,1
0.000522216154806962,20220501,4.814137878041203,0.014,1,25025,4,1
0.0,20220501,0.2648495395853026,0.027,2,16051,1,1
0.0,20220501,0.28835930487891326,0.031,2,12129,1,1
0.0,20220501,0.2657138622412304,0.018,2,12131,1,1
0.0,20220501,0.2813273242253531,0.009,2,28017,1,2
0.0,20220501,0.28835930487891326,0.013,2,20157,1,1
0.0,20220501,0.28835930487891326,0.006,2,12127,1,2
0.0,20220501,0.28835930487891326,0.022,2,47185,1,1
0.0,20220501,-0.44522369574036347,0.022,3,31181,3,1
0.0,20220501,0.28835930487891326,0.001,2,46067,1,3
0.000610798924993892,20220501,7.0996576515601735,0.006,1,50011,4,2
0.0002637179322060925,20220501,1.769206392922698,0.01,1,09007,4,2
