ID,daily,date,lisa_v,lisa_p,lisa_c,clusterN,p
31039,0.00011170688114387846,20220817,0.6202796726476798,0.001,2,1,3
53069,0.0,20220817,0.5957020139191962,0.036,2,1,1
31109,2.8739486137987854e-05,20220817,0.9829983638641403,0.001,2,1,3
31129,0.0,20220817,0.5940822868953806,0.024,2,1,1
48189,0.0002660675220244782,20220817,-0.07986422220840092,0.032,3,3,1
41063,0.00014277555682467162,20220817,0.40661625392169126,0.001,2,1,3
08109,0.00015169902912621358,20220817,0.4197689521160353,0.001,2,1,3
49033,0.0,20220817,0.8855905665382608,0.001,2,1,3
51121,0.00025473812920317915,20220817,-0.10310915388769466,0.042,3,3,1
56023,0.00015565009857839576,20220817,0.26725069754716424,0.015,2,1,1
54075,0.00047337278106508875,20220817,0.5274301940307468,0.014,1,4,1
31101,0.0,20220817,1.1653361214827749,0.001,2,1,3
31137,0.0,20220817,1.2106921610634034,0.001,2,1,3
22019,0.00020831370059369404,20220817,0.19729005266308144,0.022,2,1,1
40135,0.0002877076889879882,20220817,-0.03235745357758605,0.04,3,3,1
36101,0.00015556615710107653,20220817,0.3173112795328686,0.009,2,1,2
13171,0.0005891173950299915,20220817,0.5896251018075161,0.05,1,4,1
16051,0.00017522955071143197,20220817,0.37480170624631676,0.001,2,1,3
12129,0.0007116116456792797,20220817,3.8500819251196923,0.001,1,4,3
12131,0.0005859775570595646,20220817,0.7820823021648426,0.017,1,4,1
28017,0.0006397952655150352,20220817,0.8657052354720924,0.014,1,4,1
20157,0.00042936882782310007,20220817,-0.24603515146669247,0.03,4,2,1
12127,0.0006728960813589146,20220817,1.8667704861610472,0.002,1,4,2
26007,0.0002454417952314166,20220817,0.19299052881703002,0.001,2,1,3
21231,0.0007300691132093838,20220817,2.5117651864013073,0.004,1,4,2
47185,0.00011194029850746269,20220817,0.40851729844236645,0.028,2,1,1
12053,0.0007889948634824194,20220817,3.132583248622719,0.004,1,4,2
32001,0.000123665443752834,20220817,0.5405045079400195,0.003,2,1,2
31181,0.0,20220817,0.7539409593312736,0.002,2,1,2
46067,0.0002736726874657909,20220817,0.05460376956722525,0.017,2,1,1
50011,8.143985666585227e-05,20220817,0.7401813158611898,0.001,2,1,3
17025,0.0006020922706404757,20220817,0.6007627211955407,0.047,1,4,1
31043,4.957120904178853e-05,20220817,0.5369548488673013,0.033,2,1,1
08115,0.0004306632213608958,20220817,-0.3217610848635666,0.008,4,2,2
20039,0.00034965034965034965,20220817,-0.10819938357437305,0.009,4,2,2
28145,0.00042094924053741187,20220817,0.3104897534673451,0.015,1,4,1
31015,0.0,20220817,0.8303633580550202,0.004,2,1,2
38099,9.301460329271696e-05,20220817,0.5187041417672333,0.011,2,1,1
56041,0.0001953220372088481,20220817,0.22881150614667342,0.029,2,1,1
32013,5.942476824340385e-05,20220817,0.37637289341191377,0.044,2,1,1
13193,0.0006012777151446824,20220817,0.8417528622355857,0.009,1,4,2
17185,0.0007794907327212888,20220817,0.9777269207688829,0.037,1,4,1
21209,0.0005670697129895549,20220817,0.8373484549363287,0.012,1,4,1
49005,0.0,20220817,1.1227872117577375,0.001,2,1,3
13049,0.00023006134969325153,20220817,-0.3312606992858669,0.009,3,3,2
16055,0.0001271278015789273,20220817,0.42126945335344385,0.025,2,1,1
31089,0.0,20220817,1.2223692256711904,0.001,2,1,3
12051,0.0007119709319453992,20220817,1.918564385561361,0.003,1,4,2
48245,0.000389242745930644,20220817,-0.16123244958013225,0.037,4,2,1
08067,0.00019778125393314993,20220817,0.2635376824272853,0.006,2,1,2
41035,0.0002241448872551217,20220817,0.13613449423807034,0.037,2,1,1
36075,0.0002112574890779878,20220817,0.15606153423312596,0.043,2,1,1
12095,0.0006993908483522085,20220817,2.4454052900744188,0.002,1,4,2
08111,0.0,20220817,0.8519710407513319,0.002,2,1,2
16041,0.00014854426619132502,20220817,0.5409646835452419,0.001,2,1,3
51167,0.0007000478980140746,20220817,1.6366508673609517,0.008,1,4,2
16065,0.00015345268542199487,20220817,0.3655390018973323,0.017,2,1,1
21001,0.0007283321194464676,20220817,1.5172899111927742,0.011,1,4,1
31171,0.0,20220817,1.2223692256711904,0.001,2,1,3
38085,0.0,20220817,1.0024612359404375,0.001,2,1,3
21061,0.0004943153732081067,20220817,0.47920338672667695,0.033,1,4,1
40095,0.0003029385034837928,20220817,-0.0038202740677202233,0.011,3,3,1
41007,0.00015344483658124905,20220817,0.34232999665527697,0.016,2,1,1
53041,0.00015356068846375328,20220817,0.31383806847063583,0.004,2,1,2
36003,6.425633995887594e-05,20220817,0.45984797610476924,0.032,2,1,1
31017,0.0,20220817,1.2223692256711904,0.001,2,1,3
47013,0.0002764027439254215,20220817,-0.07493061336032754,0.025,3,3,1
19027,9.86144667422711e-05,20220817,0.339866540456394,0.046,2,1,1
16045,0.00011540015002019502,20220817,0.4319185154884671,0.009,2,1,2
23023,0.00014103576667042763,20220817,0.3346338215768475,0.048,2,1,1
21017,0.0004486987735566856,20220817,0.5617568063780843,0.008,1,4,2
47149,0.000158320535756693,20220817,0.3077278852381278,0.011,2,1,1
13075,0.0005239564533969844,20220817,0.49006558322346233,0.047,1,4,1
40059,0.00026595744680851064,20220817,0.08622618203369685,0.008,2,1,2
47159,5.0658561296859166e-05,20220817,0.4948012574738255,0.033,2,1,1
49013,0.0,20220817,0.8485894668632629,0.001,2,1,3
21193,0.0015024038461538462,20220817,11.82498604669319,0.002,1,4,2
31007,0.0,20220817,0.7601079387380796,0.006,2,1,2
19121,0.00012490632025980515,20220817,0.30564230293866257,0.027,2,1,1
12011,0.0007834057122684242,20220817,3.2355702800815176,0.003,1,4,2
38071,0.0,20220817,0.8695661116601417,0.003,2,1,2
45081,0.00019701521942570063,20220817,-0.2824552792049955,0.035,3,3,1
29109,0.0002617526960527693,20220817,0.06469172277569404,0.046,2,1,1
39145,0.000631246712256707,20220817,1.2643351953361408,0.003,1,4,2
16053,0.0003792667509481669,20220817,-0.17558032450453742,0.011,4,2,1
12099,0.0007160277592153591,20220817,1.4448395250718153,0.016,1,4,1
51820,0.0,20220817,-3.063587386422406,0.009,3,3,2
41051,0.00019761224748510452,20220817,0.21197818510571304,0.023,2,1,1
47061,0.0002248201438848921,20220817,0.16037412978662988,0.04,2,1,1
38081,0.00025826446280991736,20220817,0.1083039021130101,0.01,2,1,2
54005,0.0004470672389127325,20220817,0.5641290298074998,0.009,1,4,2
21055,0.0003333333333333333,20220817,0.19042850603717065,0.002,1,4,2
31077,0.0,20220817,1.2223692256711904,0.001,2,1,3
31095,0.0,20220817,0.6434601925433335,0.012,2,1,1
31151,7.00770847932726e-05,20220817,0.8956255330245695,0.001,2,1,3
21119,0.0011140235910878113,20220817,7.148069904513792,0.001,1,4,3
17049,0.0003515247385534757,20220817,0.11452241078853372,0.038,1,4,1
38013,0.0,20220817,1.0636549196188445,0.001,2,1,3
19085,7.097735822272695e-05,20220817,0.4951679095438592,0.012,2,1,1
31103,0.0,20220817,0.5085165302517003,0.022,2,1,1
19187,0.0003557258174852921,20220817,-0.08755197982212937,0.036,4,2,1
17151,0.0004758505829169641,20220817,0.5844037383827616,0.015,1,4,1
25001,0.00015925356915352044,20220817,0.34780141131050846,0.05,2,1,1
47003,0.0002070736353847428,20220817,0.19003474166444664,0.039,2,1,1
41001,0.00018727760784068918,20220817,0.24993924725806538,0.018,2,1,1
36097,0.0001674107142857143,20220817,0.29813704681331354,0.019,2,1,1
21127,0.0005104970965477634,20220817,1.2220950102117025,0.005,1,4,2
