fips,pop,name,county
1001,55380,Autauga County,Alabama
1003,212830,Baldwin County,Alabama
1005,25361,Barbour County,Alabama
1007,22493,Bibb County,Alabama
1009,57681,Blount County,Alabama
1011,10248,Bullock County,Alabama
1013,19828,Butler County,Alabama
1015,114618,Calhoun County,Alabama
1017,33660,Chambers County,Alabama
1019,25903,Cherokee County,Alabama
1021,44055,Chilton County,Alabama
1023,12925,Choctaw County,Alabama
1025,24128,Clarke County,Alabama
1027,13337,Clay County,Alabama
1029,14916,Cleburne County,Alabama
1031,51662,Coffee County,Alabama
1033,54771,Colbert County,Alabama
1035,12394,Conecuh County,Alabama
1037,10757,Coosa County,Alabama
1039,37200,Covington County,Alabama
1041,13844,Crenshaw County,Alabama
1043,82853,Cullman County,Alabama
1045,49277,Dale County,Alabama
1047,39149,Dallas County,Alabama
1049,71310,DeKalb County,Alabama
1051,81144,Elmore County,Alabama
1053,37057,Escambia County,Alabama
1055,102748,Etowah County,Alabama
1057,16494,Fayette County,Alabama
1059,31466,Franklin County,Alabama
1061,26417,Geneva County,Alabama
1063,8324,Greene County,Alabama
1065,14809,Hale County,Alabama
1067,17133,Henry County,Alabama
1069,104702,Houston County,Alabama
1071,51852,Jackson County,Alabama
1073,659680,Jefferson County,Alabama
1075,13885,Lamar County,Alabama
1077,92556,Lauderdale County,Alabama
1079,33058,Lawrence County,Alabama
1081,161152,Lee County,Alabama
1083,94727,Limestone County,Alabama
1085,10079,Lowndes County,Alabama
1087,18708,Macon County,Alabama
1089,362276,Madison County,Alabama
1091,19321,Marengo County,Alabama
1093,29866,Marion County,Alabama
1095,95643,Marshall County,Alabama
1097,414114,Mobile County,Alabama
1099,21270,Monroe County,Alabama
1101,226941,Montgomery County,Alabama
1103,119213,Morgan County,Alabama
1105,9293,Perry County,Alabama
1107,20243,Pickens County,Alabama
1109,33333,Pike County,Alabama
1111,22647,Randolph County,Alabama
1113,57952,Russell County,Alabama
1115,87989,St. Clair County,Alabama
1117,213432,Shelby County,Alabama
1119,12797,Sumter County,Alabama
1121,80387,Talladega County,Alabama
1123,40541,Tallapoosa County,Alabama
1125,207305,Tuscaloosa County,Alabama
1127,64110,Walker County,Alabama
1129,16541,Washington County,Alabama
1131,10681,Wilcox County,Alabama
1133,23784,Winston County,Alabama
4001,71511,Apache County,Arizona
4003,125867,Cochise County,Arizona
4005,141274,Coconino County,Arizona
4007,53546,Gila County,Arizona
4009,37996,Graham County,Arizona
4011,9522,Greenlee County,Arizona
4012,20793,La Paz County,Arizona
4013,4328810,Maricopa County,Arizona
4015,207695,Mohave County,Arizona
4017,109270,Navajo County,Arizona
4019,1027207,Pima County,Arizona
4021,432793,Pinal County,Arizona
4023,46480,Santa Cruz County,Arizona
4025,228067,Yavapai County,Arizona
4027,209468,Yuma County,Arizona
5001,17914,Arkansas County,Arkansas
5003,20270,Ashley County,Arkansas
5005,41427,Baxter County,Arkansas
5007,265759,Benton County,Arkansas
5009,37331,Boone County,Arkansas
5011,10874,Bradley County,Arkansas
5013,5192,Calhoun County,Arkansas
5015,27965,Carroll County,Arkansas
5017,10615,Chicot County,Arkansas
5019,22386,Clark County,Arkansas
5021,14889,Clay County,Arkansas
5023,25100,Cleburne County,Arkansas
5025,8128,Cleveland County,Arkansas
5027,23776,Columbia County,Arkansas
5029,20858,Conway County,Arkansas
5031,107345,Craighead County,Arkansas
5033,62739,Crawford County,Arkansas
5035,48672,Crittenden County,Arkansas
5037,16824,Cross County,Arkansas
5039,7279,Dallas County,Arkansas
5041,11709,Desha County,Arkansas
5043,18417,Drew County,Arkansas
5045,123624,Faulkner County,Arkansas
5047,17738,Franklin County,Arkansas
5049,12231,Fulton County,Arkansas
5051,98555,Garland County,Arkansas
5053,18126,Grant County,Arkansas
5055,44937,Greene County,Arkansas
5057,21842,Hempstead County,Arkansas
5059,33597,Hot Spring County,Arkansas
5061,13311,Howard County,Arkansas
5063,37427,Independence County,Arkansas
5065,13570,Izard County,Arkansas
5067,17027,Jackson County,Arkansas
5069,69282,Jefferson County,Arkansas
5071,26372,Johnson County,Arkansas
5073,6800,Lafayette County,Arkansas
