fips,date,RR,state,code
1,2020-01-23,0.0,Alabama,AL
5,2020-01-23,0.0,Arkansas,AR
6,2020-01-23,0.0,California,CA
8,2020-01-23,0.0,Colorado,CO
9,2020-01-23,0.0,Connecticut,CT
10,2020-01-23,0.0,Delaware,DE
11,2020-01-23,0.0,District Of Columbia,DC
12,2020-01-23,0.0,Florida,FL
13,2020-01-23,0.0,Georgia,GA
16,2020-01-23,0.0,Idaho,ID
4,2020-01-23,0.0,Arizona,AZ
28,2020-01-23,0.0,Mississippi,MS
19,2020-01-23,0.0,Iowa,IA
20,2020-01-23,0.0,Kansas,KS
21,2020-01-23,0.0,Kentucky,KY
22,2020-01-23,0.0,Louisiana,LA
23,2020-01-23,0.0,Maine,ME
24,2020-01-23,0.0,Maryland,MD
25,2020-01-23,0.0,Massachusetts,MA
26,2020-01-23,0.0,Michigan,MI
27,2020-01-23,0.0,Minnesota,MN
18,2020-01-23,0.0,Indiana,IN
30,2020-01-23,0.0,Montana,MT
29,2020-01-23,0.0,Missouri,MO
17,2020-01-23,0.0,Illinois,IL
31,2020-01-23,0.0,Nebraska,NE
42,2020-01-23,0.0,Pennsylvania,PA
34,2020-01-23,0.0,New Jersey,NJ
35,2020-01-23,0.0,New Mexico,NM
36,2020-01-23,0.0,New York,NY
37,2020-01-23,0.0,North Carolina,NC
38,2020-01-23,0.0,North Dakota,ND
39,2020-01-23,0.0,Ohio,OH
40,2020-01-23,0.0,Oklahoma,OK
41,2020-01-23,0.0,Oregon,OR
44,2020-01-23,0.0,Rhode Island,RI
45,2020-01-23,0.0,South Carolina,SC
33,2020-01-23,0.0,New Hampshire,NH
32,2020-01-23,0.0,Nevada,NV
47,2020-01-23,0.0,Tennessee,TN
48,2020-01-23,0.0,Texas,TX
49,2020-01-23,0.0,Utah,UT
50,2020-01-23,0.0,Vermont,VT
51,2020-01-23,0.0,Virginia,VA
53,2020-01-23,0.0,Washington,WA
54,2020-01-23,0.0,West Virginia,WV
55,2020-01-23,0.0,Wisconsin,WI
56,2020-01-23,0.0,Wyoming,WY
46,2020-01-23,0.0,South Dakota,SD
12,2020-01-24,0.0,Florida,FL
11,2020-01-24,0.0,District Of Columbia,DC
10,2020-01-24,0.0,Delaware,DE
9,2020-01-24,0.0,Connecticut,CT
28,2020-01-24,0.0,Mississippi,MS
6,2020-01-24,0.0,California,CA
5,2020-01-24,0.0,Arkansas,AR
4,2020-01-24,0.0,Arizona,AZ
13,2020-01-24,0.0,Georgia,GA
8,2020-01-24,0.0,Colorado,CO
16,2020-01-24,0.0,Idaho,ID
24,2020-01-24,0.0,Maryland,MD
18,2020-01-24,0.0,Indiana,IN
27,2020-01-24,0.0,Minnesota,MN
26,2020-01-24,0.0,Michigan,MI
25,2020-01-24,0.0,Massachusetts,MA
29,2020-01-24,0.0,Missouri,MO
22,2020-01-24,0.0,Louisiana,LA
21,2020-01-24,0.0,Kentucky,KY
20,2020-01-24,0.0,Kansas,KS
19,2020-01-24,0.0,Iowa,IA
23,2020-01-24,0.0,Maine,ME
1,2020-01-24,0.0,Alabama,AL
42,2020-01-24,0.0,Pennsylvania,PA
17,2020-01-24,0.5985294117647059,Illinois,IL
44,2020-01-24,0.0,Rhode Island,RI
38,2020-01-24,0.0,North Dakota,ND
37,2020-01-24,0.0,North Carolina,NC
36,2020-01-24,0.0,New York,NY
31,2020-01-24,0.0,Nebraska,NE
34,2020-01-24,0.0,New Jersey,NJ
33,2020-01-24,0.0,New Hampshire,NH
32,2020-01-24,0.0,Nevada,NV
